ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT0000937503,VOESTALPINE AG,,,,,,,16340911.410555935,15098208.515823517,15345369.202169986,33119725.658236302,19386367.871842574,13995812.233506955,19572017.502356492,17213790.806252595,11036957.147800002,7829120.549215184,12044154.796400003,12322057.239661293,12191027.715,14268446.526200004,12817011.079624638,13933791.095,12844012.273
AT0000938204,Mayr-Melnhof Karton AG,,,,,,,1229288.7518270535,1391165.2400082096,1721404.8430834094,1570586.6905876826,1504663.506142877,1514598.053710723,1608831.173190673,1472834.7629866274,1535399.6492389056,1618260.8182373538,1407088.6917183688,1472914.8432974145,1466879.9936866295,550417.632021207,550308.923,551331.84,1288557.0
AT0000A21KS2,Immofinanz AG,,,,,,,4863.914262674156,8673.74654975899,13922.63648794168,15143.892554721382,14482.014034448088,15004.666743847198,13385.034471097797,14055.076023800428,14102.250510507725,11620.489862805853,9559.115016332602,6469.477559055752,4965.62430574622,5118.884,5287.247,5417.416,17149.0
AU000000ABC7,ADBRI Limited,,,,,,,3051980.166852819,3168722.234887008,3102873.074656103,3313189.4899999998,3038676.7058,3064308.4133,2977318.664000001,3001550.7407000004,2943973.4153,2656303.0059,2499881.7062999965,2338465.5045000007,2316739.4307999997,2273811.5675000004,2156481.2131,2125121.0,2092331.0
AU000000ALL7,Aristocrat Leisure Limited,,,,,,,14626.671233982675,15535.065217134128,21526.684202174758,19848.6086708653,17206.60106216,16967.646021592493,14283.171913047177,13095.691274170249,17297.612660158502,19834.312636130748,30860.660598472197,41132.073854691946,49071.64968031521,25366.503,28768.577,25605.419,31217.786
AU000000AMP6,AMP Limited,,,,,,,5853.55468837986,91303.76404251916,74159.40141877394,48351.18163515299,45816.661751883235,299.7389,162.87730000000002,146.9264,115.21229999975,97.8542,158.8652000000002,69.0,98.63340000000206,122.193,74.999,355.0,146.0
AU000000ANN9,Ansell Limited,,,,,,,19633.54984488629,19602.72005001684,24078.508428720597,26786.874209000005,24065.50702698721,24337.04754284288,101026.39332021042,100239.5097333161,108058.36952803364,128883.98032909553,133942.5572053665,124441.94564452219,147291.07051901054,125637.34086896137,104623.391,128195.954,138650.02
AU000000ANZ3,ANZ Group Holdings Limited,,,,,,,9437.451162992184,9892.341019009658,15192.63253641456,13798.699999999999,15211.48,15890.0867,19754.3476993152,17931.587400000004,16037.001,17610.9938,22688.010400000003,21122.007,19024.0,17971.0,17225.513,11762.0,6424.0
AU000000ASX7,ASX Limited,,,,,,,123.51675926884901,132.635748278943,280.56955643811597,351.17133513550607,68.46329999999998,64.54652082122199,75.410167254214,305.0133,205.916314707807,116.75227726265399,75.87524749765248,11.0,48.044500000000056,51.96410000000006,2.97799999999999,297.551,288.48
AU000000BEN6,Bendigo and Adelaide Bank Limited,,,,,,,439.744147116699,480.573807807117,582.5713842855199,604.950593659263,863.660440209703,1242.6871800994988,1391.120753473034,3857.8183036632,3091.7223512856,3041.4057655775996,2903.606847674797,3857.133123604001,3859.572800000001,3322.9143920752012,3135.751,3190.785,1956.0
