ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AU000000QBE9,QBE INSURANCE GROUP,,,,,,28.07,27.52,26.16,34.65,44.99,38.71,46.04,48.36,51.11,51.01,49.23,62.49,64.05,73.02,81.95,82.48,80.72,89.66,87.64
AU000000SGM7,SIMS,,,,,,,,,36.05,45.14,57.25,56.81,63.59,68.07,68.04,66.7,66.81,68.79,63.68,64.03,70.52,72.07,72.53,74.84
AU000000SGP0,STOCKLAND STAPLED UNITS,,,,,,24.19,25.05,45.69,66.8,75.67,81.59,85.02,83.26,83.97,79.45,82.94,79.18,84.76,83.59,82.43,84.54,85.82,81.15,83.8
AU000000SHL7,SONIC HEALTHCARE,,,,,,23.26,19.47,13.34,16.67,10.99,18.5,26.92,27.35,41.37,39.79,49.93,61.45,65.94,60.1,67.51,65.38,70.04,70.92,70.07
AU000000STO6,SANTOS,,,,,,31.4,19.34,26.42,59.41,67.87,65.7,68.57,65.05,66.14,63.44,60.23,57.43,42.12,36.76,32.69,40.86,43.58,43.27,45.09
AU000000SUN6,SUNCORP GROUP,,,,,,44.21,32.15,30.85,40.22,43.07,50.83,47.51,59.03,44.86,54.76,60.71,56.02,57.58,63.78,68.71,71.4,71.8,83.62,78.95
AU000000TAH8,TABCORP HOLDINGS,,,,,,17.99,19.43,23.19,34.93,39.45,44.89,45.75,37.76,38.97,43.93,56.16,52.12,59.21,57.26,59.6,62.95,62.51,66.79,58.85
AU000000TCL6,TRANSURBAN GROUP STAPLED UNITS,,,,,,25.64,20.48,32.55,50.48,61.54,72.72,69.51,72.49,71.81,68.9,77.79,68.85,69.96,64.24,61.94,63.7,78.66,78.29,78.65
AU000000TLS2,TELSTRA GROUP,,,,,,63.31,57.9,56.0,57.44,68.15,71.47,86.24,82.4,77.93,79.31,83.02,79.21,72.71,78.54,79.02,78.91,81.19,82.87,83.22
AU000000WBC1,WESTPAC BANKING,,,,35.76,62.78,61.91,74.69,78.26,84.02,86.45,85.81,85.27,83.22,84.34,86.13,87.08,89.32,90.14,88.28,85.73,83.7,82.13,76.22,72.34
AU000000WES1,WESFARMERS,,,,,,,35.3,46.49,58.74,55.21,60.17,73.0,64.96,67.06,66.5,72.88,70.26,74.26,75.1,80.83,83.41,82.2,80.87,77.19
AU000000WOR2,WORLEY,,,,,,19.01,34.06,37.2,43.95,41.38,45.03,53.52,57.97,61.38,71.75,74.43,69.88,73.87,70.53,80.35,76.57,60.45,67.79,81.67
AU000000WOW2,WOOLWORTHS GROUP,,,,,,,50.78,63.04,72.64,77.76,76.41,90.24,83.21,83.59,85.54,81.16,73.77,71.11,80.04,84.44,83.84,81.1,70.22,79.73
AU0000088338,AMPOL,,,,,,10.28,22.14,17.91,34.85,47.79,48.33,43.15,37.05,36.57,39.52,42.48,43.73,43.72,44.03,69.43,73.12,71.54,71.67,68.63
AU0000224040,WOODSIDE ENERGY GROUP,,,,,,36.37,34.36,35.17,49.45,50.41,56.81,65.9,71.86,65.49,69.94,67.75,75.1,66.59,68.66,70.42,77.03,70.87,68.53,73.94
BE0003470755,SOLVAY,,,,32.01,45.27,31.95,41.28,37.63,37.22,54.49,46.76,56.36,51.61,71.3,77.38,78.96,76.37,70.19,60.12,73.79,77.55,79.02,83.05,83.58
BE0003565737,KBC GROUP,,,,45.95,46.58,53.17,54.01,59.95,70.46,68.13,65.84,67.32,68.86,69.37,70.61,59.05,61.71,61.87,64.01,65.06,66.91,62.02,61.2,59.09
BE0003593044,COFINIMMO,,,,31.58,28.58,33.99,41.09,32.57,50.53,53.56,56.78,61.34,60.6,66.67,69.86,64.84,67.34,71.67,70.51,76.43,80.32,82.09,79.51,81.41
BE0003717312,SOFINA,,,,,,,,,5.82,9.34,7.8,10.46,6.67,7.17,9.12,16.29,8.52,6.05,7.96,7.63,12.49,15.86,25.59,34.13
BE0003735496,ORANGE BELGIUM,,,,18.01,14.33,18.77,21.31,17.16,21.48,34.91,35.67,49.05,42.08,44.6,47.9,41.95,36.91,24.19,35.61,49.63,53.81,50.82,48.92,43.76
BE0003739530,UCB,,,,,,,15.5,12.45,22.98,31.68,37.22,50.05,52.32,54.3,56.28,59.74,70.32,69.12,81.69,80.83,82.44,85.07,82.47,89.11
BE0003755692,AGFA-GEVAERT,,,,44.77,45.37,38.32,50.77,30.64,54.24,63.72,65.86,61.17,56.37,57.05,52.8,55.03,69.55,69.18,64.45,75.38,66.66,57.64,61.85,69.04
BE0003797140,GBL NEW,,,,20.84,32.27,28.47,19.33,12.74,13.31,9.41,5.63,10.29,11.55,7.98,27.19,22.18,19.09,14.7,17.13,31.69,58.26,72.04,66.81,67.72
BE0003810273,PROXIMUS,,,,22.84,23.56,20.97,30.29,35.84,42.7,69.68,73.85,73.04,65.97,61.48,54.37,48.23,68.87,74.73,75.32,66.66,66.33,70.8,67.08,62.22
BE0974256852,COLRUYT GROUP,,,,26.42,24.8,28.61,26.85,41.45,28.31,34.99,33.6,37.74,32.38,31.18,33.24,38.69,45.22,43.5,42.81,54.87,52.98,55.84,55.68,53.93
BE0974258874,BEKAERT (D),,,,30.45,10.45,21.68,25.68,25.06,27.58,35.02,36.99,36.87,46.29,37.58,33.73,31.32,45.4,46.43,50.88,51.26,58.44,60.41,64.15,68.6
BE0974264930,AGEAS (EX-FORTIS),,,,,,,67.52,72.68,78.97,43.26,39.29,43.97,41.85,35.89,32.59,37.72,48.83,37.4,44.53,53.91,64.94,65.6,70.38,75.23
BE0974293251,ANHEUSER-BUSCH INBEV,,,,22.22,29.11,28.75,57.17,46.29,55.95,43.07,55.79,52.25,49.29,48.3,52.91,55.61,50.97,53.09,57.03,58.78,60.48,64.43,81.97,78.6
BE0974320526,UMICORE,,,,,,,47.71,39.33,54.15,60.0,74.39,66.77,79.66,74.95,70.68,68.5,68.7,69.44,65.95,74.86,75.07,74.11,75.0,83.54
