ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
SG1H97877952,SEATRIUM,242.22,223.2,263.64,329.65,393.77,592.49,1227.17,1692.97,3126.98,1334.31,3149.5,5192.99,3894.99,5222.95,5036.25,3630.36,1897.29,1503.07,2192.72,1807.47,1570.45,269.26,173.86,294.11
SG1L01001701,DBS GROUP HOLDINGS,1176.7,823.25,561.39,487.4,685.86,799.51,838.52,1291.8,1310.43,650.79,1280.79,1344.87,1111.44,1580.49,1819.33,2159.43,1682.36,1785.97,2851.98,2829.77,3314.26,3428.15,4531.05,4937.24
SG1M31001969,UNITED OVERSEAS BANK,776.37,692.48,658.2,677.25,804.27,913.89,1005.04,1521.77,1735.61,1162.27,1890.03,1975.8,1699.01,2416.09,2589.19,2955.35,2342.53,2485.58,3591.42,3405.09,3893.97,3580.78,4339.54,5189.26
SG1R50925390,SEMBCORP INDUSTRIES,112.64,82.2,73.81,41.37,69.59,96.27,155.6,251.66,414.49,172.7,294.51,464.04,374.65,531.23,553.35,439.15,292.93,280.11,330.18,275.94,256.46,395.89,464.95,806.44
SG1R89002252,CITY DEVELOPMENTS,1154.71,925.38,660.26,489.3,739.69,994.24,1209.2,1947.59,2360.62,1075.46,2023.79,2428.52,1735.23,2697.75,1983.67,2044.95,1445.32,1565.69,2590.59,1680.48,2348.13,1766.82,1509.88,1928.93
SG1S04926220,OVERSEA-CHINESE BKG.,420.82,351.62,288.77,273.68,384.43,457.16,563.02,726.18,858.0,533.37,1042.43,1281.66,1036.72,1414.3,1479.81,1543.16,1256.5,1302.98,2022.34,1860.53,1918.25,1880.96,2161.41,2430.32
SG1S76928401,COSCO SHIPPING INTERNATIONAL,261.83,163.44,240.94,199.94,738.56,1741.2,3243.71,7594.15,20649.92,3464.23,4791.94,9602.71,3948.99,4411.99,3681.58,2638.27,2040.92,1219.87,1766.12,1523.85,1544.7,1333.47,1190.52,840.02
SG1S83002349,UOL GROUP,92.34,93.44,100.16,105.64,135.86,185.25,232.11,445.6,509.8,260.04,504.52,661.99,567.79,929.21,952.11,1059.71,904.4,874.39,1429.07,997.56,1390.75,1343.54,1234.79,1201.5
SG1T58930911,FRASER AND NEAVE,345.41,372.01,407.16,465.3,765.11,1066.65,1229.25,1666.03,2383.91,1231.8,1869.56,3212.49,3162.07,5378.61,5796.84,5035.73,3657.67,3692.53,5022.12,3356.97,3495.36,3161.08,3077.66,2894.39
SG1T75931496,SINGAPORE TELECOM,56.43,44.48,28.09,21.9,36.51,47.57,53.71,77.58,107.36,71.23,92.91,104.78,113.87,135.17,151.68,160.79,147.7,150.8,168.28,143.17,175.88,128.07,129.85,151.2
