ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
GB00B3FLWH99,BODYCOTE,,,,,,18.12,21.48,25.72,22.36,14.24,13.59,31.3,26.56,31.41,31.1,44.02,55.8,58.96,68.32,63.19,59.48,61.34,60.86,59.61
GB00B41H7391,REDDE NORTHGATE,,,,,,33.67,38.9,49.96,31.57,40.29,32.35,35.34,32.17,40.32,39.11,30.89,38.26,32.81,32.38,53.64,49.86,48.55,48.45,43.09
GB00B45C9X44,CHEMRING GROUP,,,,,,9.73,12.3,14.41,22.36,26.11,39.03,34.25,44.67,35.46,33.97,21.45,34.88,33.5,60.99,52.6,50.05,50.78,47.69,51.63
GB00B572ZV91,PHAROS ENERGY,,,,,,5.86,3.74,18.17,9.99,36.01,40.82,46.78,48.13,58.08,51.45,50.94,53.43,63.58,63.87,63.06,60.18,54.69,50.59,43.88
GB00B5N0P849,WOOD GROUP (JOHN),,,,,,20.62,24.83,21.09,32.16,41.47,47.44,42.09,58.28,63.81,56.59,54.05,52.73,52.69,78.34,75.88,76.15,74.41,63.1,60.84
GB00B5ZN1N88,SEGRO,,,,53.49,10.04,40.69,48.27,48.47,68.32,66.76,65.41,76.3,59.56,57.97,58.96,77.79,68.15,69.48,85.3,66.17,83.3,81.46,77.08,82.1
GB00B61TVQ02,INCHCAPE,,,,,,,13.53,22.76,14.24,10.45,12.91,17.49,14.39,15.38,13.78,14.74,14.76,18.99,39.99,31.46,36.12,36.05,33.91,36.11
GB00B63H8491,ROLLS-ROYCE HOLDINGS,,,,30.74,27.05,37.23,27.22,33.3,35.93,35.63,27.07,26.23,51.09,39.66,50.31,45.24,88.24,87.91,88.04,86.76,85.31,81.04,77.95,
GB00B63QSB39,GREGGS,,,,,,25.69,14.22,36.05,32.08,42.79,40.58,52.82,50.01,65.73,69.73,76.03,74.83,86.11,79.92,79.23,79.93,78.11,77.68,72.0
GB00B67G5X01,WORKSPACE GROUP,,,,,,56.07,54.64,50.24,46.93,54.97,56.77,53.84,57.15,53.69,56.22,50.78,55.92,58.99,56.81,53.58,62.01,63.75,58.45,51.81
GB00B6YTLS95,STAGECOACH GROUP DEAD - DELIST.28/06/22,,,,42.59,46.91,49.96,29.61,28.29,24.7,34.22,35.16,44.5,45.27,42.59,48.19,41.11,44.38,45.33,54.39,52.52,52.06,53.57,61.31,
GB00B7KR2P84,EASYJET,,,,,,27.76,24.86,19.07,21.4,22.36,41.12,32.54,47.17,44.22,46.28,48.54,48.44,47.22,38.62,39.72,47.88,40.37,40.73,56.95
GB00B82YXW83,VESUVIUS,,,,47.18,45.0,51.08,46.4,33.22,27.92,20.53,17.21,19.98,16.06,33.63,33.43,62.36,58.4,61.4,59.63,55.49,69.23,67.43,64.88,62.22
GB00B8B4R053,STUDIO RETAIL GROUP DEAD - DELIST.25/02/22,,,,,,29.5,26.67,22.15,25.98,13.34,22.36,51.34,48.47,49.64,46.97,41.39,46.77,55.47,38.76,49.11,48.82,47.62,53.59,
