Company,ISIN,GICSSectorName,Country,Region
Esprit Holdings Limited,BMG3122U1457,Consumer Discretionary,HONG KONG,PAC
"Everest Group, Ltd.",BMG3223R1088,Financials,UNITED STATES,AMER
Guoco Group Limited,BMG420981224,Financials,HONG KONG,PAC
Hongkong Land Holdings Limited,BMG4587L1090,Real Estate,HONG KONG,PAC
Hiscox Ltd,BMG4593F1389,Materials,BERMUDA,Other
Hopson Development Holdings Limited,BMG4600H1198,Real Estate,HONG KONG,PAC
Huabao International Holdings Limited,BMG4639H1227,Materials,CHINA,EM
Jardine Matheson Holdings Limited,BMG507361001,Financials,HONG KONG,PAC
Kerry Properties Limited,BMG524401079,Real Estate,HONG KONG,PAC
Kunlun Energy Company Limited,BMG5320C1082,Energy,CHINA,EM
Nabors Industries Ltd.,BMG6359F1370,Energy,UNITED STATES,AMER
NWS Holdings Limited,BMG668971101,Industrials,CHINA,EM
Orient Overseas (International) Limited,BMG677491539,Industrials,HONG KONG,PAC
RenaissanceRe Holdings Ltd.,BMG7496G1033,Financials,UNITED STATES,AMER
Shangri-La Asia Limited,BMG8063F1068,Consumer Discretionary,HONG KONG,PAC
Signet Jewelers Limited,BMG812761002,Consumer Discretionary,UNITED STATES,AMER
Sinofert Holdings Limited,BMG8403G1033,Materials,CHINA,EM
Stolt-Nielsen Limited,BMG850801025,Industrials,NORWAY,EUR
Transport International Holdings Limited,BMG9031M1082,Industrials,HONG KONG,PAC
"White Mountains Insurance Group, Ltd.",BMG9618E1075,Financials,UNITED STATES,AMER
Yue Yuen Industrial (Holdings) Limited,BMG988031446,Consumer Discretionary,HONG KONG,PAC
Ambev S.A.,BRABEVACNOR1,Consumer Staples,BRAZIL,EM
Banco do Brasil S.A.,BRBBASACNOR3,Financials,BRAZIL,EM
Banco Bradesco S.A.,BRBBDCACNPR8,Financials,BRAZIL,EM
BRF S.A.,BRBRFSACNOR8,Consumer Staples,BRAZIL,EM
Braskem S.A.,BRBRKMACNPA4,Materials,BRAZIL,EM
Cia Energetica de Minas Gerais,BRCMIGACNPR3,Utilities,BRAZIL,EM
Companhia Paranaense de Energia - COPEL,BRCPLEACNPB9,Utilities,BRAZIL,EM
Companhia Siderurgica Nacional,BRCSNAACNOR6,Materials,BRAZIL,EM
ENGIE Brasil Energia S.A.,BREGIEACNOR9,Utilities,BRAZIL,EM
Eletrobras SA,BRELETACNPB7,Utilities,BRAZIL,EM
Embraer S.A.,BREMBRACNOR4,Industrials,BRAZIL,EM
Gerdau S.A.,BRGGBRACNPR8,Materials,BRAZIL,EM
Metalurgica Gerdau S.A.,BRGOAUACNPR8,Materials,BRAZIL,EM
Itausa Investimentos Itau S.A,BRITSAACNPR7,Financials,BRAZIL,EM
Itau Unibanco Holding SA,BRITUBACNPR1,Financials,BRAZIL,EM
Light S.A.,BRLIGTACNOR2,Utilities,BRAZIL,EM
Companhia Brasileira De Distribuicao,BRPCARACNOR3,Consumer Staples,BRAZIL,EM
Petrobras SA,BRPETRACNPR6,Energy,BRAZIL,EM
Cia Saneamento Basico De Sp,BRSBSPACNOR5,Utilities,BRAZIL,EM
Cia Transmissao Energia Electrica Paulista,BRTRPLACNPR1,Utilities,BRAZIL,EM
Usinas Siderurgicas de Minas Gerais SA,BRUSIMACNPA6,Materials,BRAZIL,EM
Vale S.A.,BRVALEACNOR0,Materials,BRAZIL,EM
Telefonica Brasil S.A.,BRVIVTACNOR0,Communication Services,BRAZIL,EM
WEG S.A.,BRWEGEACNOR0,Industrials,BRAZIL,EM
ARC Resources Ltd.,CA00208D4084,Energy,CANADA,AMER
Agnico Eagle Mines Limited,CA0084741085,Materials,CANADA,AMER
Alimentation Couche-Tard Inc.,CA01626P1484,Consumer Staples,CANADA,AMER
BCE Inc.,CA05534B7604,Communication Services,CANADA,AMER
Ballard Power Systems Inc.,CA0585861085,Consumer Discretionary,CANADA,AMER
Bank of Montreal,CA0636711016,Financials,CANADA,AMER
The Bank of Nova Scotia,CA0641491075,Financials,CANADA,AMER
