ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
MYL1155OO000,MALAYAN BANKING,8273.42,8340.72,7732.86,6924.37,9142.49,11329.09,11060.22,12855.1,13553.62,7194.77,14180.75,20184.46,20677.05,25392.03,26893.28,24440.36,19098.29,18632.14,26110.8,25401.56,23744.07,23642.51,23665.71,23807.11
MYL1295OO004,PUBLIC BANK,2067.42,1830.78,2412.9,2765.26,4776.12,6269.96,5922.37,7606.85,11204.26,9033.99,11656.16,14913.4,14907.59,18803.13,20918.68,20318.4,16745.55,17065.4,19933.39,23259.94,18449.73,19881.19,19382.7,19036.05
MYL1899OO003,BATU KAWAN,326.65,282.17,297.51,406.39,460.06,467.73,582.05,908.48,1506.65,997.92,1308.87,2389.34,2401.16,2708.67,2608.65,2161.99,1776.9,1788.11,2111.34,1759.63,1858.69,1777.92,2177.01,2022.61
MYL1961OO001,IOI CORPORATION,511.41,570.39,863.53,1378.05,2349.76,2923.28,3699.56,6467.56,14224.57,6328.37,10659.8,12621.82,10901.35,10724.65,9266.55,8864.4,6712.39,6337.9,7049.32,6767.29,7082.79,6828.18,5627.4,5778.64
MYL2291OO002,GENTING PLANTATIONS,257.52,159.97,222.4,280.93,341.52,355.62,424.09,910.02,1974.8,774.26,1381.3,2165.66,2058.7,2233.37,2557.67,2203.49,1932.26,1911.44,2084.42,1922.35,2320.99,2197.39,1443.18,1303.76
MYL2445OO004,KUALA LUMPUR KEPONG,984.4,851.27,993.77,1218.78,1256.27,1293.77,1583.57,2726.47,5623.39,2749.17,5144.22,7650.97,7644.27,8378.11,8115.05,6961.02,5688.71,5711.1,6594.4,6385.66,6472.09,6363.84,5651.59,5487.28
MYL3182OO002,GENTING,2502.26,1742.31,1946.19,2483.73,3076.83,3522.27,3993.48,6910.76,8847.27,3960.73,7942.03,13463.23,12892.93,11190.14,11650.7,9495.48,6399.21,6687.47,8756.18,5722.7,5734.06,4298.56,4345.91,3942.88
MYL3336OO004,IJM CORPORATION,280.27,245.9,395.27,488.44,468.63,563.84,556.47,1107.68,2227.22,758.24,1732.95,2729.65,2462.41,2250.07,2536.48,2799.55,2814.01,2570.28,2734.66,1425.24,1930.63,1565.98,1330.08,1324.87
MYL3395OO000,BERJAYA CORPORATION,281.36,118.28,82.79,51.25,55.2,47.31,33.69,165.81,1371.23,533.3,1464.79,1515.72,1282.18,828.49,774.46,507.57,408.16,373.16,407.56,339.56,318.72,248.24,325.53,406.07
MYL3689OO006,FRASER & NEAVE HOLDINGS,174.74,204.47,335.85,330.23,375.25,469.07,584.8,762.91,857.0,911.84,1103.63,1744.86,2072.51,2142.44,2062.41,1826.13,1580.39,1919.73,2446.99,2973.28,3123.96,2925.11,2178.13,1796.83
MYL3816OO005,MISC BHD.,3303.8,3475.09,3768.75,3352.75,5530.77,7488.57,9792.83,9278.51,10967.07,9192.08,6395.62,12102.21,7702.5,6276.79,7767.85,9217.41,9741.62,7313.58,8184.14,7237.12,9111.99,7623.69,7553.93,7600.06
MYL4065OO008,PPB GROUP,445.43,340.85,428.65,508.7,845.67,877.95,1304.84,1831.35,3943.28,3186.47,5525.87,6635.86,6417.4,4497.02,5841.54,4848.48,4390.22,4191.25,5050.15,6051.86,6552.18,6549.8,5839.27,5632.24
